"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.0142780774854669,0.38068,0.0135200459223173,0.4539
"2","nbsp",0.000664492448053954,0.60281,0.0010907189042157,0.60301
"3","RaoQ",0.000318764240164497,0.64379,0.000411255944117209,0.66899
"4","FRic",1.55203401004021e-206,1,2.08391081075107e-191,1
"5","FDis",0.000175818459949786,0.674,0.000310287675601509,0.67624
