"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","basalAreaPerHa.small",1.76517975841534e-07,0.88529,3.84391228245953e-07,0.89236
"2","stemsPerHa.small",1.26823010514763e-201,1,3.22613345910337e-186,1
"3","basalAreaPerHa",0.000190548302486456,0.67006,0.000342828761587925,0.67034
"4","stemsPerHa",3.75892478356827e-09,0.93632,5.82845379048429e-10,0.96408
"5","C_MinM",0.00485080040411933,0.46896,0.00663406629991177,0.47551
"6","P_MinM",0.00545905883443942,0.45985,0.0073731897276303,0.46733
"7","CVAnnMRateRise",0.0524501252361153,0.25946,0.0582893311762912,0.2891
