species,WD,,,,,,,,,,,,,,,
Melaleuca quinquenervia,0.751,,,,,,,,,,,,,,,
Melicytus dentatus,0.53,,,,,,,,,,,,,,,
Mentha pulegium,NA,,,,,,,,,,,,,,,
Microlaena stipoides,NA,,,,,,,,,,,,,,,
Morus alba,0.601,,,,,,,,,,,,,,,
Myrsine variabilis,0.784,,,,,,,,,,,,,,,
Neolitsea dealbata,0.498,,,,,,,,,,,,,,,
Notelaea longifolia,0.87,,,,,,,,,,,,,,,
Notelaea microcarpa subsp. velutina,NA,,,,,,,,,,,,,,,
Notelaea venosa,NA,,,,,,,,,,,,,,,
Oplismenus aemulus,NA,,,,,,,,,,,,,,,
Oplismenus imbecillis,NA,,,,,,,,,,,,,,,
Oxalis perennans,NA,,,,,,,,,,,,,,,
Ozothamnus diosmifolius,NA,,,,,,,,,,,,,,,
Paspalum dilatatum,NA,,,,,,,,,,,,,,,
Pennisetum clandestinum,NA,,,,,,,,,,,,,,,
Persicaria decipiens,NA,,,,,,,,,,,,,,,
Persicaria hydropiper,NA,,,,,,,,,,,,,,,
Persoonia lanceolata,NA,,,,,,,,,,,,,,,
Phragmites australis,NA,,,,,,,,,,,,,,,
Phyllanthus gunnii,NA,,,,,,,,,,,,,,,
Phyllanthus virgatus,NA,,,,,,,,,,,,,,,
Phytolacca octandra,NA,,,,,,,,,,,,,,,
Pittosporum revolutum,NA,,,,,,,,,,,,,,,
Pittosporum spinescens,0.728,,,,,,,,,,,,,,,
Plantago debilis,NA,,,,,,,,,,,,,,,
Plantago major,NA,,,,,,,,,,,,,,,
Platylobium formosum subsp. formosum,NA,,,,,,,,,,,,,,,
Plectranthus parviflorus,NA,,,,,,,,,,,,,,,
Poa labillardierei subsp. labillardierei,NA,,,,,,,,,,,,,,,
Poa meionectes,NA,,,,,,,,,,,,,,,
Poa pratensis,NA,,,,,,,,,,,,,,,
Poa sieberiana,NA,,,,,,,,,,,,,,,
Polyscias sambucifolia subsp. decomposita,NA,,,,,,,,,,,,,,,
Pomaderris aspera,0.566,,,,,,,,,,,,,,,
Pomaderris lanigera,NA,,,,,,,,,,,,,,,
Pratia purpurascens,NA,,,,,,,,,,,,,,,
Prostanthera lasianthos,0.58,,,,,,,,,,,,,,,
Prunella vulgaris,NA,,,,,,,,,,,,,,,
Prunus cerasifera,NA,,,,,,,,,,,,,,,
Pultenaea juniperina,0.88,,,,,,,,,,,,,,,
Ranunculus repens,NA,,,,,,,,,,,,,,,
Richardia brasiliensis,NA,,,,,,,,,,,,,,,
Ripogonum album ,,,,,,,,,,,,,,,,
Rosa rubiginosa,NA,,,,,,,,,,,,,,,
Rostraria cristata,NA,,,,,,,,,,,,,,,
Rubus fruticosus agg.,0.35,,,,,,,,,,,,,,,
Rubus moluccanus subsp. trilobus,NA,,,,,,,,,,,,,,,
Rubus parvifolius,NA,,,,,,,,,,,,,,,
Rumex brownii,NA,,,,,,,,,,,,,,,
Salix fragilis,0.36,,,,,,,,,,,,,,,
Senecio linearifolius,NA,,,,,,,,,,,,,,,
Senecio madagascariensis,NA,,,,,,,,,,,,,,,
Setaria pumila,NA,,,,,,,,,,,,,,,
Sida rhombifolia,NA,,,,,,,,,,,,,,,
Solanum americanum,NA,,,,,,,,,,,,,,,
Solanum aviculare,NA,,,,,,,,,,,,,,,
Solanum mauritianum,0.449,,,,,,,,,,,,,,,
Solanum nigrum,NA,,,,,,,,,,,,,,,
Sonchus asper,NA,,,,,,,,,,,,,,,
Sonchus oleraceus,NA,,,,,,,,,,,,,,,
Stellaria flaccida,NA,,,,,,,,,,,,,,,
Stellaria media,NA,,,,,,,,,,,,,,,
Symplocos thwaitesii,0.538,,,,,,,,,,,,,,,
Syzygium oleosum,0.581,,,,,,,,,,,,,,,
Tagetes minuta,NA,,,,,,,,,,,,,,,
Taraxacum officinale,NA,,,,,,,,,,,,,,,
Tasmannia insipida,0.78,,,,,,,,,,,,,,,
Themeda australis,NA,,,,,,,,,,,,,,,
Tradescantia fluminensis,NA,,,,,,,,,,,,,,,
Trema tomentosa subsp. aspera,0.331,,,,,,,,,,,,,,,
Trifolium repens,NA,,,,,,,,,,,,,,,
Tristaniopsis laurina,0.654,,,,,,,,,,,,,,,
Urtica incisa,NA,,,,,,,,,,,,,,,
Verbena bonariensis,NA,,,,,,,,,,,,,,,
Verbena quadrangularis,NA,,,,,,,,,,,,,,,
Vernonia cinerea,NA,,,,,,,,,,,,,,,
Veronica calycina,NA,,,,,,,,,,,,,,,
Viola hederacea,NA,,,,,,,,,,,,,,,
Vulpia bromoides,NA,,,,,,,,,,,,,,,
Wilkiea huegeliana,0.67,,,,,,,,,,,,,,,
Xanthium occidentale,NA,,,,,,,,,,,,,,,
