plotID,individual,speciesName,stem,circumference,dbh
2,24,Tristaniopsis laurina,A,33.6,10.7
2,25,Tristaniopsis laurina,A,49,15.6
2,26,Tristaniopsis laurina,A,115.9,36.9
2,27,Tristaniopsis laurina,B,124.5,39.6
2,28,Tristaniopsis laurina,A,149.1,47.5
3,3,Acacia mearnsii,A,52.4,16.67943804
3,2,Acacia melanoxylon,A,50.3,16.01098728
3,2,Acacia melanoxylon,B,61.7,19.63971998
3,7,Acacia melanoxylon,A,32.8,10.44056427
3,7,Acacia melanoxylon,B,37.1,11.80929678
3,9,Acacia melanoxylon,A,101,32.1492985
3,10,Acacia melanoxylon,A,32.5,10.3450713
3,11,Acacia melanoxylon,A,43.9,13.973804
3,1,Eucalyptus viminalis,A,481,153.1070553
3,8,Eucalyptus viminalis,A,300,95.49296586
3,4,Leptospermum brevipes,A,37.9,12.06394469
3,5,Pomaderris aspera,A,34.7,11.04535305
3,6,Pomaderris aspera,A,31.8,10.12225438
4,7,Acacia floribunda,A,31.8,10.12225438
4,9,Acacia floribunda,A,34.2,10.88619811
4,2,Bursaria spinosa,A,66.2,21.07211447
4,8,Bursaria spinosa,A,40.4,12.8597194
4,4,Cassinia trinerva,A,32,10.18591636
4,1,Casuarina cunninghamiana,A,300,95.49296586
4,6,Casuarina cunninghamiana,A,262,83.39719018
4,10,Casuarina cunninghamiana,A,331,105.3605723
4,11,Casuarina cunninghamiana,A,277.5,88.33099342
4,3,Eucalyptus cypellocarpa,A,136.5,43.44929946
4,5,Eucalyptus cypellocarpa,A,318,101.2225438
5,13,Backhousia myrtifolia,A,42.8,13.62366313
5,13,Backhousia myrtifolia,B,35.3,11.23633898
5,1,Casuarina cunninghamiana,A,48,15.27887454
5,2,Casuarina cunninghamiana,A,49.2,15.6608464
5,3,Casuarina cunninghamiana,A,455,144.8309982
5,8,Casuarina cunninghamiana,A,419,133.3718423
5,4,Eucalyptus elata,A,279,88.80845825
5,12,Eucalyptus elata,A,180,57.29577951
5,5,Tristaniopsis laurina,A,76.85,24.46211475
5,6,Tristaniopsis laurina,A,37.2,11.84112777
5,7,Tristaniopsis laurina,A,32,10.18591636
5,9,Tristaniopsis laurina,A,44.8,14.2602829
5,9,Tristaniopsis laurina,B,37.4,11.90478974
5,9,Tristaniopsis laurina,C,41.4,13.17802929
5,10,Tristaniopsis laurina,A,40,12.73239545
5,11,Tristaniopsis laurina,A,42.5,13.52817016
5,14,Tristaniopsis laurina,A,49.8,15.85183233
5,15,Tristaniopsis laurina,A,85.2,27.1200023
6,10,Acacia mearnsii,A,33.1,10.53605723
6,1,Casuarina cunninghamiana,A,32.6,10.37690229
6,2,Casuarina cunninghamiana,A,46.5,14.80140971
6,3,Casuarina cunninghamiana,A,37.6,11.96845172
6,4,Casuarina cunninghamiana,A,69.9,22.24986104
6,5,Casuarina cunninghamiana,A,36.9,11.7456348
6,6,Casuarina cunninghamiana,A,47.4,15.08788861
6,7,Casuarina cunninghamiana,A,85.4,27.18366428
6,8,Casuarina cunninghamiana,A,42.1,13.40084621
6,9,Casuarina cunninghamiana,A,139.2,44.30873616
6,11,Casuarina cunninghamiana,A,92.7,29.50732645
6,12,Casuarina cunninghamiana,A,150.3,47.84197589
6,13,Casuarina cunninghamiana,A,126.4,40.23436961
6,14,Casuarina cunninghamiana,A,58.2,18.52563538
7,3,Acacia dealbata,A,32.7,10.40873328
7,9,Acacia dealbata,A,42.4,13.49633917
7,10,Acacia dealbata,A,41.9,13.33718423
7,10,Acacia dealbata,B,34.6,11.01352206
7,11,Acacia dealbata,A,33.8,10.75887415
7,14,Acacia dealbata,A,52.5,16.71126902
7,15,Acacia dealbata,A,33.1,10.53605723
7,16,Acacia dealbata,A,32.9,10.47239526
7,23,Acacia dealbata,A,33.6,10.69521218
7,27,Acacia dealbata,A,44.4,14.13295895
7,30,Acacia dealbata,A,35.1,11.17267701
7,31,Acacia dealbata,A,33.5,10.66338119
7,32,Acacia dealbata,A,38.2,12.15943765
7,33,Acacia dealbata,A,33.9,10.79070514
7,34,Acacia dealbata,A,45.9,14.61042378
7,35,Acacia dealbata,A,34.6,11.01352206
7,36,Acacia dealbata,A,31.6,10.0585924
7,37,Acacia dealbata,A,38.2,12.15943765
7,38,Acacia dealbata,A,46.5,14.80140971
7,28,Eucalyptus bridgesiana,A,179,56.97746963
7,1,Eucalyptus rubida,A,41.4,13.17802929
7,2,Eucalyptus rubida,A,58.9,18.7484523
7,4,Eucalyptus rubida,A,65.7,20.91295952
7,4,Eucalyptus rubida,B,37.6,11.96845172
7,4,Eucalyptus rubida,C,47.5,15.11971959
7,4,Eucalyptus rubida,D,37.7,12.00028271
7,5,Eucalyptus rubida,A,87.2,27.75662208
7,7,Eucalyptus rubida,A,34.2,10.88619811
7,7,Eucalyptus rubida,B,41.1,13.08253632
7,8,Eucalyptus rubida,A,36.5,11.61831085
