"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.0476315938252611,0.26894,0.056707297257206,0.27391
"2","SLA.CWM",0.0517724062543009,0.26074,0.0400967816843317,0.40924
"3","nbsp",6.39690764031053e-209,1,7.15744940667671e-196,1
"4","FGR",0.0301939269262245,0.31277,0.0334753094229027,0.34877
"5","FEve",0.0237597699987924,0.33508,0.0213676663557683,0.42534
"6","FRic",0.00347756498485649,0.49388,0.00468387115230392,0.50604
"7","MDFMDFNovember",0.00645206501011688,0.44674,0.00887770392228151,0.44879
"8","MDFMDFJuly",0.0307502970219456,0.31105,0.0340323022816814,0.34744
"9","MDFMDFJanuary",0.00226630501306152,0.52441,0.00327110645102262,0.53001
