"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","RaoQ",0.00526849633538465,0.46261,0.00491745535912868,0.5302
"2","FDiv",2.18113495589547e-207,1,1.00700080922536e-191,1
"3","FDis",0.00537838925146868,0.46101,0.00633822767056729,0.49207
"4","JDMaxMean",0.0252596738176236,0.32943,0.0300818230411275,0.34633
"5","VarAnnHSPeak",0.0446226504950491,0.27532,0.0537795049894058,0.27724
"6","VarAnnHSNum",0.0386117182886772,0.28935,0.0471523001871434,0.29006
"7","CVAnnHSPeak",0.0234427066382046,0.33632,0.0273309257440984,0.36019
"8","CVAnnUnder0.1",0.0530604518281311,0.25831,0.0634398364677087,0.25872
