"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.0370579188218851,0.2933,0.0454140898791024,0.29378
"2","maxheight.CWM",0.00939815332423437,0.41624,0.012028592688789,0.42805
"3","RaoQ",5.79489738021247e-12,0.97642,3.8500333160056e-12,0.9841
"4","FRic",0.010550726782693,0.40657,0.0110479082209201,0.45823
"5","FDiv",0.00537838925146866,0.46101,0.0071001731096181,0.47268
"6","FDis",1.54157567827049e-204,1,1.51294022262315e-189,1
"7","M_MDFM",0.026763657374705,0.32407,0.0243220190242696,0.4135
"8","P_MDFM",0.0528137279391672,0.25877,0.0502850176446115,0.34397
"9","CVAnnMRateFall",0.0245339331805475,0.33213,0.0309559487222644,0.33252
"10","CVAnnMRateRise",0.0104713379757433,0.40721,0.0137356119354641,0.41238
"11","LSPeak",0.0358279142372368,0.29653,0.043104740319115,0.30416
"12","VarAnnHSPeak",0.000137859850129922,0.68563,0.000214414764612869,0.69815
"13","CVAnnHSPeak",0.000874017994616664,0.58642,0.00122721366225392,0.60148
"14","CVAnnHSNum",0.0251423054913593,0.32986,0.0316659711937789,0.33028
"15","CVMDFJuly",0.0592957397104208,0.24728,0.0702768106897184,0.24818
"16","CVMDFJune",0.02529677791811,0.3293,0.028039920689175,0.36652
"17","CVMDFMay",0.00360334970804987,0.49127,0.00301605412771541,0.5702
"18","CVMDFApril",0.0407831771307556,0.28406,0.0436940190849453,0.32895
"19","MDFMDFNovember",0.0276805658502769,0.32092,0.0305236441340079,0.35907
"20","MDFMDFOctober",0.0308851670171768,0.31064,0.03746548854977,0.31854
"21","MDFMDFSeptember",0.0308394477009336,0.31078,0.031552628737247,0.37004
"22","MDFMDFAugust",0.0424484558652003,0.28018,0.0400387769331909,0.36563
"23","MDFMDFMay",0.0569554010475453,0.25129,0.0678253969266219,0.25133
"24","MDFMDFFebruary",0.0541142652991027,0.25637,0.0606274533600741,0.28243
"25","MDFMDFJanuary",0.0140472303619756,0.3821,0.0180035798907211,0.38829
"26","CV",0.0255829183526903,0.32826,0.0309734545234127,0.34013
