,maxheight,seedmass,SLA,woody,flowering.period,,,lifehistory,dispersal,reproduction,,vegetative,veg tech,veg ref
Pultenaea juniperina,0.477121255,2.44625623,1.864080131,1,0.333333333,,,P,AU,S,,,,
Rubus fruticosus agg.,0.477121255,1.531069493,3.098740024,1,0.416666667,,,P,A,SSuRf,,,,
Rubus parvifolius,-0.22184875,-1.59946207,3.140265424,1,0.5,,,P,A,SSuRf,,,,
Sida rhombifolia,0,1.372952098,3.160822893,1,0.75,,,P,AH,0,,,,
Solanum americanum,0.113943352,-0.76121314,2.708050201,0,1,,,A,A,S,,,,
Solanum mauritianum,0.602059991,0.042644337,3.00221124,1,0.75,,,P,A,S,,,,
Stellaria flaccida,-0.698970004,-1.251538767,3.879912952,0,0.416666667,,,P,U,S,,,,
Syzygium oleosum,1.176091259,7.758156576,2.309560707,1,0.833333333,,,P,A,S,,,,
Tagetes minuta,0.301029996,0.23878686,3.914819093,0,0.25,,,A,W,S,,,,
Tradescantia fluminensis,-0.698970004,1.589763487,3.837514953,0,0.5,,,P,U,SV,,,,
Trema tomentosa var. aspera,0.77815125,2.280956314,3.869115504,1,0.333333333,,,P,A,S,,,,
Tristaniopsis laurina,1.477121255,3.358958826,2.012232792,1,0.166666667,,,P,W,S,,,,
Urtica incisa,0,-2.058893689,3.702535781,0,1,,,P,U,S,,,,
Viola hederacea,-0.698970004,-0.514573173,3.143289838,0,0.5,,,P,NA,S,,,,
Xanthium occidentale,0.301029996,5.646162657,3.884651809,0,0.5,,,P,AW,S,,,,
