,maxheight,seedmass,SLA,woody,flowering.period,WD,,Strategy,Mode of Seed Dispersal,Reproductive Technique,,,,,
Ehrharta erecta,-0.22184875,0.831877241,2.481567749,0,0.5,NA,,P,0,S,,,,,
Entolasia stricta,-0.096910013,0.713695815,3.60114054,0,1,NA,,P,0,SR,,,,,
Eucalyptus amplifolia,1.477121255,1.350497247,1.589235205,1,0.25,0.786,,P,0,0,,,,,
Eucalyptus camphora subsp. humeana,1.301029996,-1.556393349,2.151762203,1,0.333333333,0.5,,P,WU,S,,,,,
Eucalyptus cypellocarpa,1.698970004,2.825785627,1.479329227,1,0.25,0.624,,P,0,S,,,,,
Eucalyptus elata,1.477121255,2.140778656,1.857859271,1,0.5,0.503,,P,0,S,,,,,
Eucalyptus radiata,1.698970004,3.112700133,2.332143895,1,0.25,0.578,,P,0,S,,,,,
Eucalyptus rubida,1.602059991,1.565597176,1.631199404,1,0.25,0.478,,P,W,S,,,,,
Eucalyptus stellulata,1.176091259,0.575312331,2.085672091,1,0.75,0.637,,P,0,S,,,,,
Eucalyptus tereticornis,1.698970004,-0.168122759,1.87946505,1,0.5,0.726,,P,0,S,,,,,
Eucalyptus viminalis,1.477121255,0.35614381,1.930071085,1,1,0.618,,P,W,S,,,,,
Glochidion ferdinandi var. ferdinandi,0.903089987,3.977279923,2.552565298,1,1,0.665,,P,A,S,,,,,
Grevillea robusta,1.602059991,4.321928095,1.613429934,1,0.25,0.521,,P,0,S,,,,,
Guioa semiglauca,0.77815125,5.357552005,2.580974119,1,0.25,0.77,,P,0,S,,,,,
Gymnostachys anceps,0.176091259,7.836681593,1.943048917,0,1,NA,,P,A,SR,,,,,
Imperata cylindrica,0.079181246,-2.184424571,2.779440197,0,0.25,NA,,P,W,SV,,,,,
Lepidosperma laterale,0,1.510961919,2.033397603,0,0.5,NA,,P,A,SR,,,,,
Leptospermum brevipes,0.602059991,-2.736965594,2.199444334,1,0.25,0.712,,P,0,S,,,,,
Ligustrum sinense,0.477121255,4.087462841,2.347558459,1,0.416666667,0.612,,P,A,S,,,,,
Lomandra longifolia,0,3.502075956,2.556451817,0,0.25,NA,,P,0,SR,,,,,
Lomatia myricoides,0.698970004,2.689299161,2.33408376,1,0.166666667,NA,,P,0,SR,,,,,
Lophostemon suaveolens,1.342422681,-0.577766999,1.987874348,1,0.25,0.577,,P,A,SSu,,,,,
Melaleuca quinquenervia,1.176091259,-1.689659879,2.074429,1,0.5,0.751,,P,WU,S,,,,,
Melicytus dentatus,0.602059991,3.532316959,2.811809435,1,0.5,0.53,,P,A,S,,,,,
Microlaena stipoides,-0.15490196,2.313245852,3.590990953,0,1,NA,,P,0,SR,,,,,
Notelaea longifolia,0.954242509,5.465974465,2.140066163,1,0.583333333,0.87,,P,A,S,,,,,
Notelaea microcarpa var. velutina,1,5.443606651,1.795087259,1,0.583333333,NA,,P,A,S,,,,,
Oplismenus aemulus,-0.522878745,-0.184424571,4.02820476,0,1,NA,,P,UA,S,,,,,
Oplismenus imbecillis,-0.522878745,-0.120294234,4.147411283,0,1,NA,,P,UA,S,,,,,
Pennisetum clandestinum,-0.045757491,1.124328135,3.416414347,0,0.25,NA,,P,WA,SStR,,,,,
Pittosporum spinescens,0.903089987,2.914564523,2.914522218,1,0.5,0.728,,P,A,S,,,,,
Platylobium formosum subsp. formosum,0.397940009,3.247927513,2.673458756,1,0.25,NA,,P,AU,S,,,,,
Poa labillardierei var. labillardierei,0.079181246,-1.736965594,2.609334228,0,1,NA,,P,WA,SR,,,,,
Poa meionectes,-0.15490196,-1.279283757,2.372111156,0,0.5,NA,,P,WA,SR,,,,,
Poa sieberiana,0,-1.888968688,2.535282857,0,1,NA,,P,WA,SR,,,,,
Pomaderris aspera,0.602059991,-0.836501268,2.596746132,1,0.166666667,0.566,,P,W,SpR,,,,,
Prostanthera lasianthos,0.77815125,0.014355293,2.593761055,1,0.416666667,0.58,,P,0,SR,,,,,
Prunella vulgaris,-0.397940009,-0.415037499,3.276389731,0,0.5,NA,,P,0,S,,,,,
Pultenaea juniperina,0.477121255,2.44625623,1.864080131,1,0.333333333,0.88,,P,AU,S,,,,,
Rubus fruticosus agg.,0.477121255,1.531069493,3.098740024,1,0.416666667,0.35,,P,A,SSuRf,,,,,
