"","Label","Site","meanArea","sdArea","count"
"69","brush wattle - 1.jpg","Tuross at Belowra",214.569347826087,46.4204400155487,23
"70","brush wattle - 2.jpg","Genoa",222.05005,87.822781639459,20
"71","brush wattle - 2.jpg","Tuross at Belowra",198.730086956522,58.653537939414,23
"72","brush wattle - 3.jpg","Genoa",145.2271875,29.5949758398702,16
"73","brush wattle - 3.jpg","Tuross at Belowra",182.1138,37.5097801801966,25
"74","brush wattle - 4.jpg","Genoa",130.641142857143,33.7685722651783,21
"75","brush wattle - 5 -.jpg","Tuross at Belowra",130.922333333333,27.4793024742366,18
"76","brush wattle - 5.jpg","Genoa",154.695736842105,45.5514238219255,19
"77","brush wattle - 5.jpg","Tuross at Belowra",139.720952380952,31.8817341035211,21
"78","bursaria 1 .jpg","Wadbilliga",45.4696363636364,11.1082903269872,33
"79","bursaria 2 .jpg","Wadbilliga",32.6605,12.3165569628287,44
"80","bursaria 3 .jpg","Wadbilliga",28.5761304347826,6.9729581945261,46
"81","bursaria 4 .jpg","Wadbilliga",61.553425,16.8771492578324,40
"82","bursaria 5.jpg","Wadbilliga",154.936259259259,73.5688556349098,27
"83","calochlaena - 1.jpg","Genoa",1439.70216666667,172.688474069831,6
"84","calochlaena - 1.jpg","Sportsmans",711.638923076923,454.388842492943,13
"85","calochlaena - 2.jpg","Genoa",1930.1488,176.111223534163,5
"86","calochlaena - 2.jpg","Sportsmans",428.9692,147.202195207913,15
"87","calochlaena - 3.jpg","Genoa",1758.7085,158.244385048886,6
"88","calochlaena - 3.jpg","Sportsmans",387.68475,171.641851554756,20
"89","calochlaena - 4.jpg","Genoa",1638.6335,184.927361687502,6
"90","calochlaena - 4.jpg","Sportsmans",244.491037037037,174.014388305742,27
"91","calochlaena - 5.jpg","Genoa",2631.0355,297.486327351527,6
"92","calochlaena - 5.jpg","Sportsmans",753.354272727273,480.160290983561,11
"93","carex 1 - 1.jpg","Wallagaraugh",230.350318181818,104.530359260286,22
"94","carex 1 - 2.jpg","Wallagaraugh",278.134791666667,96.4512785981377,24
"95","carex 1 - 3.jpg","Wallagaraugh",346.14975,147.87367365189,28
"96","carex 1 - 4.jpg","Wallagaraugh",287.560333333333,53.2770937645814,18
"97","carex 1 - 5.jpg","Wallagaraugh",184.675866666667,52.8364540143374,30
"98","castor oil plant - 1a.jpg","Mann",10239.9483333333,1212.05909848255,3
"99","castor oil plant - 1b.jpg","Mann",11747.476,248.876131133542,2
"100","castor oil plant - 2a.jpg","Mann",17160.147,NA,1
"101","castor oil plant - 2b.jpg","Mann",11558.035,1218.51186118478,2
"102","castor oil plant - 3a.jpg","Mann",11644.1785,244.362668549227,2
