"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.00320642528966344,0.4998,0.00452149737841768,0.5056
"2","maxheight.CWM",0.00118419353245416,0.56751,0.00178096438573621,0.57307
"3","nbsp",0.000516507289647738,0.61734,0.000673356572027374,0.64119
"4","RaoQ",0.00266415011645506,0.51308,0.00386344165986624,0.51648
"5","FRic",0,1,0,1
"6","FDis",0.00264291585481424,0.51365,0.00264755890078732,0.56747
"7","MDFMDFWinter",0.000849474755491843,0.58815,0.000111756712632302,0.77688
"8","MDFMDFAutumn",0.0305864745171025,0.31156,0.0315339591806739,0.36864
"9","MDFMDFSummer",2.01681744781857e-05,0.76447,3.00166625132295e-06,0.86281
"10","MDFMDFSpring",0.0100646112127039,0.41053,0.0036273832419452,0.62047
"11","CVAnnHSPeak",0.00715731776190562,0.43847,0.00699467132599335,0.50095
