"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.00515534890003125,0.46428,0.00644462908049247,0.48567
"2","nbsp",9.81997585785145e-05,0.70119,0.000179462518244926,0.70377
"3","FGR",0.00319807484453928,0.49999,0.00436794464469613,0.5107
"4","RaoQ",0.00013393484526392,0.68699,0.000106258590239116,0.74231
"5","FRic",2.85998057692468e-209,1,4.59361146901773e-194,1
"6","FDis",6.88410374280065e-05,0.71669,0.000109117871619203,0.72956
"7","MA.7daysMinMeannorm",0.0571824945001265,0.25089,0.0665364562617243,0.26057
"8","LSPeaknorm",0.0590465243091347,0.2477,0.0700719614583457,0.24816
"9","CVAnnHSPeak",0.0292213312956561,0.31585,0.0363582973155382,0.31678
