"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.00358206521245375,0.49171,0.00353352792038186,0.549
"2","maxheight.CWM",1.44695565302284e-206,1,8.30138012836642e-191,1
"3","nbsp",0.0412872700056919,0.28287,0.045402654775663,0.31896
"4","RaoQ",0.0177448208316055,0.36152,0.0165003233726217,0.44063
"5","FRic",0.000600856090708927,0.60868,0.000993304907137216,0.60891
"6","FDis",0.00999297350059464,0.41113,0.0120957253096382,0.43392
"7","P_MaxM",0.0460102936229757,0.27233,0.0175031006452582,0.56883
"8","CVAnnHSPeak",0.0114069432010426,0.39998,0.0044394376096086,0.60659
"9","CVAnnHSNum",0.00836963564063034,0.42578,0.00724398562684188,0.5097
