"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",1.73700685732317e-206,1,2.42518537380274e-192,1
"2","maxheight.CWM",0.00326408298477782,0.49851,0.00239560781395346,0.59219
"3","SLA.CWM",0.0310173315189896,0.31024,0.0284552072114935,0.39934
"4","RaoQ",0.0484614683015344,0.26725,0.0575601606957423,0.2727
"5","FEve",0.0074437254259142,0.43531,0.0100577979685851,0.43899
"6","FRic",0.0364488819584411,0.29489,0.0416423074490786,0.31957
"7","CVAnnHSPeak",0.0148693475291551,0.37714,0.0112994119151074,0.49337
"8","CVMDFMarch",0.041878129217283,0.2815,0.050886662161244,0.28198
"9","MDFMDFJanuary",0.00835511485189706,0.42593,0.0106546926836171,0.43975
"10","plotID",0.0497860047524828,0.26459,0.0595321466428424,0.26671
