"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.0137260510245956,0.38411,0.0158133370783702,0.41535
"2","RaoQ",1.78111398584748e-10,0.9601,1.75421128277928e-11,0.97978
"3","FRic",0.0199725294038169,0.35091,0.0199231403724975,0.41507
"4","FDiv",0.00124089588593104,0.56453,0.0019038610511718,0.56733
"5","FDis",4.48870115480926e-208,1,1.68121582841738e-192,1
"6","C_MinM",0.0323814402106162,0.30616,0.0236714567477274,0.45218
"7","CVAnnMRateFall",0.0361451656092107,0.29569,0.0439765066430958,0.29927
"8","CVAnnMRateRise",0.0170431291568127,0.36511,0.0215728490940319,0.37137
"9","CVAnnHSPeak",0.00249657380022947,0.51766,0.00318001244448978,0.53995
"10","CVAnnHSNum",0.0167104865575049,0.36686,0.0213391647987841,0.37118
"11","CVMDFJune",0.0255762256052497,0.32828,0.026491350346916,0.38384
"12","CVMDFMay",0.0104257438443029,0.40757,0.0101874940796408,0.47235
"13","MDFMDFNovember",0.044308353788672,0.27601,0.0477140248865539,0.31872
"14","MDFMDFJanuary",0.0340743513591504,0.30132,0.0417145255339954,0.30413
