"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.00409597553679874,0.48176,0.00379520254084787,0.54846
"2","maxheight.CWM",1.59899700992041e-204,1,6.53470274059819e-189,1
"3","nbsp",0.046050538209958,0.27225,0.0540130051142604,0.28369
"4","RaoQ",0.00857352303472098,0.42381,0.00907182940769075,0.47316
"5","FEve",0.0127632825547888,0.39038,0.00981490578017831,0.5012
"6","FRic",0.000967487485394474,0.58018,0.0015347136363673,0.58111
"7","FDis",0.00495749317523538,0.46729,0.00679696648184975,0.47318
"8","CVAnnHSPeak",0.0132244430733786,0.38733,0.00584523270383404,0.58434
"9","CVAnnHSNum",0.0090229880404373,0.41961,0.00892708433514412,0.48128
"10","MDFMDFJanuary",0.013456904951465,0.38582,0.0147231992205771,0.42852
