"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",9.43287029104755e-207,1,2.55600406664046e-193,1
"2","maxheight.CWM",0.00409597553679874,0.48176,0.00266505091059448,0.59355
"3","SLA.CWM",0.0279659338845063,0.31997,0.0259452081631286,0.40479
"4","RaoQ",0.0252029076034877,0.32964,0.0315655833702567,0.33169
"5","FEve",0.000391171534064613,0.63279,0.000661710556325684,0.63383
"6","FRic",0.0241901184121692,0.33343,0.0305447884831769,0.33389
"7","FDis",0.0233702734173453,0.3366,0.0265319388024651,0.36781
"8","CVAnnHSPeak",0.0157753961165969,0.37195,0.0116937327241301,0.49412
"9","CVMDFMarch",0.0479189550445597,0.26835,0.0577561010977375,0.26836
"10","MDFMDFJanuary",0.00819215494367546,0.42754,0.010273553897851,0.44486
