"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","maxheight.CWM",0.0460505382099581,0.27225,0.0550775509601353,0.27628
"2","nbsp",4.48483240267369e-211,1,9.52634618258675e-197,1
"3","FEve",0.00890184247243289,0.42072,0.0102851166210407,0.45349
"4","FRic",0.000613540872066696,0.60747,0.00100950761039581,0.60802
"5","MDFMDFNovember",0.0049098982578291,0.46803,0.00674999300112511,0.47355
"6","MDFMDFJuly",0.0353725297892212,0.29775,0.0391770500030854,0.33283
"7","MDFMDFJanuary",0.00240646632075232,0.52024,0.00345480030663869,0.52606
